in:Config,in:VertDyn,in:HghtMstr,in:HghtPortiek(en),out:# Woningen,out:PB_tot,out:PB_E1,out:PB_E2,out:PB_NormBloksPos,out:PB E1Bb+Bc+Pa,out:PB_probsolved,out:PB_E1Ba,out:PB_E1Bb,out:PB_E1Bc,out:PB_E2Ba,out:PB_E2Bb,out:PB_E2Bc,out:PB_E1Pa,img
4,4,7,4,1289,96,-86,182,False,-35,False,-2,14,48,57,77,-49,-49,Config4_VertDyn4_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
0,2,6,0,938,326,2,324,True,-20,False,22,48,-42,108,91,125,-26,Config0_VertDyn2_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
1,2,6,0,885,329,18,311,True,-29,False,47,44,-47,100,100,111,-26,Config1_VertDyn2_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
2,2,6,0,982,325,24,301,True,2,True,22,62,-34,108,91,102,-26,Config2_VertDyn2_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
3,2,6,0,1056,458,253,205,False,38,False,215,38,78,59,120,-26,-26,Config3_VertDyn2_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
4,2,6,0,907,328,6,322,False,10,False,22,36,108,100,114,-26,-26,Config4_VertDyn2_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
0,3,6,0,1057,256,2,254,True,-20,False,22,48,-42,78,70,106,-26,Config0_VertDyn3_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
1,3,6,0,1040,238,-7,245,True,-29,False,22,44,-47,71,83,91,-26,Config1_VertDyn3_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
2,3,6,0,1095,259,24,235,True,2,True,22,62,-34,78,74,83,-26,Config2_VertDyn3_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
3,3,6,0,1091,438,253,185,False,38,False,215,38,78,59,100,-26,-26,Config3_VertDyn3_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
4,3,6,0,1027,258,6,252,False,10,False,22,36,78,78,96,-26,-26,Config4_VertDyn3_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
0,4,6,0,1153,201,-14,215,True,-36,False,22,48,-58,78,50,87,-26,Config0_VertDyn4_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
1,4,6,0,1104,199,-7,206,True,-29,False,22,44,-47,71,65,70,-26,Config1_VertDyn4_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
2,4,6,0,1179,208,11,197,True,-11,False,22,62,-47,78,57,62,-26,Config2_VertDyn4_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
3,4,6,0,1151,402,253,149,False,38,False,215,38,78,45,78,-26,-26,Config3_VertDyn4_HghtMstr6_HghtPortiek(en)0_Birdseye_AL3.png
