in:Variant,in:HghtAvgGal,in:HghtAvgCorridor(s),in:HghtAvgPortieken,out:# Woningen,out:PB_tot,out:PB_E1Ba,out:PB_E1Bb,out:PB_E2Ba,out:PB_E2Bb,out:PB_E2Bc,out:PB_E1_CombiBlok,out:PB_AllBlocksPos,img
Portiek -P,7,6,11,1306,-388,-134,-96,-168,5,5,0,False,VariantPortiek-P_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
Galerij,5,5,8,835,248,28,69,78,50,23,0,True,VariantGalerij_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,5,5,8,989,155,6,35,39,52,23,0,True,VariantPortiek_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek -P,5,5,8,989,-176,-90,-62,-99,52,23,0,False,VariantPortiek-P_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Galerij,6,5,8,956,163,9,56,54,35,9,0,True,VariantGalerij_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,6,5,8,1069,99,-4,27,28,39,9,0,False,VariantPortiek_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek -P,6,5,8,1069,-232,-100,-70,-110,39,9,0,False,VariantPortiek-P_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Galerij,7,5,8,1075,78,-10,43,30,20,-5,0,False,VariantGalerij_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,7,5,8,1151,44,-14,20,18,25,-5,0,False,VariantPortiek_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Portiek -P,7,5,8,1151,-287,-110,-77,-120,25,-5,0,False,VariantPortiek-P_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken8_Birdseye_AL6.png
Galerij,5,6,8,889,217,28,60,78,46,5,0,True,VariantGalerij_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,5,6,8,1043,125,6,26,39,49,5,0,True,VariantPortiek_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
Portiek -P,5,6,8,1043,-206,-90,-71,-99,49,5,0,False,VariantPortiek-P_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
Galerij,6,6,8,1009,132,9,47,54,31,-9,0,False,VariantGalerij_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
Portiek,6,6,8,1123,68,-4,18,28,35,-9,0,False,VariantPortiek_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken8_Birdseye_AL6.png
