in:Config,in:Vert_Dyn,in:Hght_mstr,in:Programma,out:Winst GO (%),out:Bouwkosten (€),out:Opbr GO (€),out:PP Balans,out:PPb E1a,out:PPb E1b,out:PPb E1c,out:PPb E2a-1,out:PPb E2a-b,out:PPb E2b,out:PPb E2c,out:GO/BVO (+p),out:# Woningen,out:% GV1K81T,out:% GV2K54T,out:% GV3K69T,out:% GV4K81T,out:% GV4K54E01,img
0,3,7,0,93 %,189.167.263,365.082.986,106,-9,-4,-54,64,48,87,-26,0.728,931,22,52,1,1,11,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr7_Prog0_Birdseye_AL3.png
0,2,6,0,88 %,159.108.468,298.502.513,223,12,15,-39,91,67,103,-26,0.726,760,21,51,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr6_Prog0_Birdseye_AL3.png
1,2,6,0,84 %,146.628.788,269.556.377,264,33,38,-48,81,88,98,-26,0.723,693,25,46,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr6_Prog0_Birdseye_AL3.png
2,2,6,0,86 %,159.284.876,296.251.662,263,12,51,-33,91,79,89,-26,0.722,755,24,47,1,1,11,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr6_Prog0_Birdseye_AL3.png
3,2,6,0,86 %,175.208.527,326.106.725,393,221,29,64,39,98,-26,-32,0.728,828,23,45,2,2,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr6_Prog0_Birdseye_AL3.png
4,2,6,0,86 %,150.346.806,279.979.329,237,12,25,91,78,89,-26,-32,0.724,705,19,49,3,3,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr6_Prog0_Birdseye_AL3.png
0,3,6,0,91 %,174.843.994,333.544.459,161,12,15,-39,64,48,87,-26,0.727,850,22,52,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr6_Prog0_Birdseye_AL3.png
1,3,6,0,89 %,167.695.468,316.551.772,183,12,38,-48,55,72,80,-26,0.725,814,25,47,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr6_Prog0_Birdseye_AL3.png
2,3,6,0,89 %,174.940.669,330.999.802,202,12,51,-33,64,63,71,-26,0.724,844,24,47,1,1,11,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr6_Prog0_Birdseye_AL3.png
3,3,6,0,87 %,179.836.179,336.616.833,375,221,29,64,39,80,-26,-32,0.728,854,23,46,2,2,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr6_Prog0_Birdseye_AL3.png
