in:Config,in:VertDyn,in:HghtMstr,in:Prog,out:# Woningen,out:PP Balans,out:Opbr/Kosten (%),out:Kosten BVO (€),out:Opbr GO (€),out:GO/BVO,img
0,3,7,5,1223,167,87 %,206.938.217,387.619.940,0.737,Config0_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
0,2,6,0,760,223,88 %,159.108.468,298.502.513,0.726,Config0_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
1,2,6,0,693,264,84 %,146.628.788,269.556.377,0.723,Config1_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
2,2,6,0,755,263,86 %,159.284.876,296.251.662,0.722,Config2_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
3,2,6,0,828,393,86 %,175.208.527,326.106.725,0.728,Config3_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
4,2,6,0,705,237,86 %,150.346.806,279.979.329,0.724,Config4_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
0,3,6,0,850,161,91 %,174.843.994,333.544.459,0.727,Config0_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
1,3,6,0,814,183,89 %,167.695.468,316.551.772,0.725,Config1_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
2,3,6,0,844,202,89 %,174.940.669,330.999.802,0.724,Config2_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
3,3,6,0,854,375,87 %,179.836.179,336.616.833,0.728,Config3_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
4,3,6,0,797,175,90 %,166.341.191,315.998.834,0.726,Config4_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
0,2,7,0,908,122,92 %,185.039.543,355.924.648,0.728,Config0_VertDyn2_HghtMstr7_Prog0_Birdseye_AL3.png
1,2,7,0,779,207,87 %,161.559.963,302.760.855,0.724,Config1_VertDyn2_HghtMstr7_Prog0_Birdseye_AL3.png
2,2,7,0,897,167,91 %,184.320.550,351.466.794,0.724,Config2_VertDyn2_HghtMstr7_Prog0_Birdseye_AL3.png
