in:Config,in:VertDyn,in:HghtMstr,in:Prog,out:# Woningen,out:PP Balans,out:AllGalPosPPB,out:Opbr/Kosten (%),out:Kosten BVO (mln  €),out:Opbr GO (mln  €),out:GO/BVO,img
4,3,7,5,1114,206,False,87,193,360,0.735,Config4_VertDyn3_HghtMstr7_Prog5_Birdseye_AL3.png
0,2,6,0,760,223,False,88,159,298,0.726,Config0_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
1,2,6,0,693,264,False,84,146,269,0.723,Config1_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
2,2,6,0,755,263,False,86,159,296,0.722,Config2_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
3,2,6,0,828,393,True,86,175,326,0.728,Config3_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
4,2,6,0,705,237,True,86,150,279,0.724,Config4_VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
0,3,6,0,850,161,False,91,174,333,0.727,Config0_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
1,3,6,0,814,183,False,89,167,316,0.725,Config1_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
2,3,6,0,844,202,False,89,174,330,0.724,Config2_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
3,3,6,0,854,375,True,87,179,336,0.728,Config3_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
4,3,6,0,797,175,True,90,166,315,0.726,Config4_VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
0,2,7,0,908,122,False,92,185,355,0.728,Config0_VertDyn2_HghtMstr7_Prog0_Birdseye_AL3.png
1,2,7,0,779,207,False,87,161,302,0.724,Config1_VertDyn2_HghtMstr7_Prog0_Birdseye_AL3.png
2,2,7,0,897,167,False,91,184,351,0.724,Config2_VertDyn2_HghtMstr7_Prog0_Birdseye_AL3.png
3,2,7,0,873,363,True,88,183,343,0.728,Config3_VertDyn2_HghtMstr7_Prog0_Birdseye_AL3.png
4,2,7,0,833,151,False,91,172,330,0.726,Config4_VertDyn2_HghtMstr7_Prog0_Birdseye_AL3.png
0,3,7,0,931,106,False,93,189,365,0.728,Config0_VertDyn3_HghtMstr7_Prog0_Birdseye_AL3.png
1,3,7,0,860,153,False,90,175,334,0.726,Config1_VertDyn3_HghtMstr7_Prog0_Birdseye_AL3.png
2,3,7,0,923,149,False,92,188,361,0.724,Config2_VertDyn3_HghtMstr7_Prog0_Birdseye_AL3.png
3,3,7,0,985,288,True,91,202,387,0.729,Config3_VertDyn3_HghtMstr7_Prog0_Birdseye_AL3.png
4,3,7,0,856,135,False,92,176,338,0.727,Config4_VertDyn3_HghtMstr7_Prog0_Birdseye_AL3.png
0,2,6,1,768,106,False,87,153,287,0.721,Config0_VertDyn2_HghtMstr6_Prog1_Birdseye_AL3.png
1,2,6,1,737,211,False,84,148,274,0.723,Config1_VertDyn2_HghtMstr6_Prog1_Birdseye_AL3.png
2,2,6,1,807,272,False,87,159,298,0.725,Config2_VertDyn2_HghtMstr6_Prog1_Birdseye_AL3.png
3,2,6,1,882,383,False,85,180,333,0.728,Config3_VertDyn2_HghtMstr6_Prog1_Birdseye_AL3.png
4,2,6,1,755,208,False,86,154,286,0.723,Config4_VertDyn2_HghtMstr6_Prog1_Birdseye_AL3.png
0,3,6,1,858,48,False,91,168,321,0.723,Config0_VertDyn3_HghtMstr6_Prog1_Birdseye_AL3.png
1,3,6,1,864,129,False,89,170,321,0.724,Config1_VertDyn3_HghtMstr6_Prog1_Birdseye_AL3.png
