in:VertDyn,in:HghtMstr,in:Prog,out:# Woningen,out:PP Balans,out:AllGalPosPPB,out:PB_E1A,out:PB_E1B,out:PB_E1C,out:PB_E2A,out:PB_E2B,out:PB_E2C,out:PB_P1,img
3,7,0,931,106,False,-9,-4,-54,64,48,87,-26,VertDyn3_HghtMstr7_Prog0_Birdseye_AL3.png
2,6,0,760,223,False,12,15,-39,91,67,103,-26,VertDyn2_HghtMstr6_Prog0_Birdseye_AL3.png
3,6,0,850,161,False,12,15,-39,64,48,87,-26,VertDyn3_HghtMstr6_Prog0_Birdseye_AL3.png
2,7,0,908,122,False,-9,-4,-54,64,48,103,-26,VertDyn2_HghtMstr7_Prog0_Birdseye_AL3.png
2,6,1,780,233,False,12,15,-37,98,77,99,-31,VertDyn2_HghtMstr6_Prog1_Birdseye_AL3.png
3,6,1,873,171,False,12,15,-37,70,59,83,-31,VertDyn3_HghtMstr6_Prog1_Birdseye_AL3.png
2,7,1,932,133,False,-9,-3,-52,70,59,99,-31,VertDyn2_HghtMstr7_Prog1_Birdseye_AL3.png
3,7,1,955,117,False,-9,-3,-52,70,59,83,-31,VertDyn3_HghtMstr7_Prog1_Birdseye_AL3.png
2,6,2,771,198,False,4,9,-39,90,69,91,-26,VertDyn2_HghtMstr6_Prog2_Birdseye_AL3.png
3,6,2,864,136,False,4,9,-39,62,51,75,-26,VertDyn3_HghtMstr6_Prog2_Birdseye_AL3.png
2,7,2,923,98,False,-17,-9,-54,62,51,91,-26,VertDyn2_HghtMstr7_Prog2_Birdseye_AL3.png
3,7,2,946,82,False,-17,-9,-54,62,51,75,-26,VertDyn3_HghtMstr7_Prog2_Birdseye_AL3.png
2,6,3,768,106,False,-28,16,-37,86,37,58,-26,VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
3,6,3,858,48,False,-28,16,-37,61,19,43,-26,VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
2,7,3,919,10,False,-48,-2,-52,61,19,58,-26,VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
3,7,3,942,-5,False,-48,-2,-52,61,19,43,-26,VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
2,6,4,776,197,False,4,10,-39,89,69,90,-26,VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
3,6,4,868,137,False,4,10,-39,62,51,75,-26,VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
2,7,4,929,99,False,-16,-8,-54,62,51,90,-26,VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
3,7,4,952,84,False,-16,-8,-54,62,51,75,-26,VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
