in:VertDyn,in:HghtMstr,in:HghtE1Bc,in:HghtE1Pa,out:# Woningen,out:PB_tot,out:PB_E1,out:PB_E2,out:PB_NormBloksPos,out:PB E1Bb+Bc+Pa,out:PB_probsolved,out:PB_E1A,out:PB_E1B,out:PB_E1C,out:PB_E2A,out:PB_E2B,out:PB_E2C,out:PB_P1,img
4,7,5,4,1272,126,-59,185,False,-57,False,-2,34,-42,48,50,87,-49,VertDyn4_HghtMstr7_HghtE1Bc5_HghtE1Pa4_Birdseye_AL3.png
2,6,3,0,879,360,36,324,True,14,True,22,48,-8,108,91,125,-26,VertDyn2_HghtMstr6_HghtE1Bc3_HghtE1Pa0_Birdseye_AL3.png
3,6,3,0,998,290,36,254,True,14,True,22,48,-8,78,70,106,-26,VertDyn3_HghtMstr6_HghtE1Bc3_HghtE1Pa0_Birdseye_AL3.png
4,6,3,0,1065,251,36,215,True,14,True,22,48,-8,78,50,87,-26,VertDyn4_HghtMstr6_HghtE1Bc3_HghtE1Pa0_Birdseye_AL3.png
2,7,3,0,1031,271,-2,273,False,0,False,-2,34,-8,78,70,125,-26,VertDyn2_HghtMstr7_HghtE1Bc3_HghtE1Pa0_Birdseye_AL3.png
3,7,3,0,1063,252,-2,254,False,0,False,-2,34,-8,78,70,106,-26,VertDyn3_HghtMstr7_HghtE1Bc3_HghtE1Pa0_Birdseye_AL3.png
4,7,3,0,1181,183,-2,185,False,0,False,-2,34,-8,48,50,87,-26,VertDyn4_HghtMstr7_HghtE1Bc3_HghtE1Pa0_Birdseye_AL3.png
2,6,4,0,908,344,20,324,True,-2,False,22,48,-24,108,91,125,-26,VertDyn2_HghtMstr6_HghtE1Bc4_HghtE1Pa0_Birdseye_AL3.png
3,6,4,0,1027,274,20,254,True,-2,False,22,48,-24,78,70,106,-26,VertDyn3_HghtMstr6_HghtE1Bc4_HghtE1Pa0_Birdseye_AL3.png
4,6,4,0,1094,235,20,215,True,-2,False,22,48,-24,78,50,87,-26,VertDyn4_HghtMstr6_HghtE1Bc4_HghtE1Pa0_Birdseye_AL3.png
2,7,4,0,1060,255,-18,273,False,-16,False,-2,34,-24,78,70,125,-26,VertDyn2_HghtMstr7_HghtE1Bc4_HghtE1Pa0_Birdseye_AL3.png
3,7,4,0,1092,236,-18,254,False,-16,False,-2,34,-24,78,70,106,-26,VertDyn3_HghtMstr7_HghtE1Bc4_HghtE1Pa0_Birdseye_AL3.png
4,7,4,0,1210,167,-18,185,False,-16,False,-2,34,-24,48,50,87,-26,VertDyn4_HghtMstr7_HghtE1Bc4_HghtE1Pa0_Birdseye_AL3.png
2,6,5,0,938,326,2,324,True,-20,False,22,48,-42,108,91,125,-26,VertDyn2_HghtMstr6_HghtE1Bc5_HghtE1Pa0_Birdseye_AL3.png
